'13287',SOUTH BIHAR EXP,51
'13282',RJPB NTSK EXP  ,31
'13281',NTSK  RJPB  EXP,31
'21107',KURJ BSB LINK E,21
'12138',PUNJAB MAIL    ,54
'12139',SEWAGRAM  EXP  ,47
'12132',SAINAGAR DR EXP,10
'12133',MANGALORE EXP  ,17
'12130',AZAD HIND EXP  ,30
'12131',DR SAINAGAR EXP,10
'12136',NAGPUR PUNE EXP,18
'12137',PUNJAB MAIL    ,56
'12134',MUMBAI EXP     ,16
'12135',PUNE NAGPUR EXP,18
'58840',JBP NIR NGP PAS,52
'22801',VSKP MAS SF EXP,16
'22803',HWH SBP SUP EXP,11
'22802',MAS VSKP  EXP  ,16
'22805',BBS NDLS SUP EX,19
'22804',SBP HWH SUP EXP,11
'22807',SRC  MAS AC EXP,18
'22806',NDLS BBS SUP EX,19
'22809',VSKP SF EXP    ,17
'22808',MAS SRC AC EXP ,18
'14890',MBF BGKT EXP   ,2
'12226',KAIFIYAT EXP   ,16
'12227',INDORE DURONTO ,2
'12224',ERS LTT DURONTO,4
'12225',KAIFIYAT EXP   ,16
'12222',HWH PUNE DURONT,8
'12223',LTT ERS DURONTO,8
'12220',DURONTO AC EXP ,6
'12221',HOWRAH DURONTO ,8
'12228',MUMBAI DURONTO ,2
'12229',LUCKNOW MAIL   ,10
'15708',ASR KIR EXPRESS,55
'14650',SARYUYAMUNA EXP,61
'21068',SAKET LINK EXP ,22
'59811',HALDIGHATI PASS,71
'14659',DLI JSM EXPRESS,47
'15707',KIR ASR EXPRESS,57
'14096',HIMALAYAN QUEEN,15
'14095',HIMALYAN QUEEN ,14
'16313',CANNANORE EXP  ,25
'72452',RAIL MOTOR     ,3
'13064',BLGT HWH EXPRES,11
'13063',HWH BLGT EXP   ,11
'59812',HALDIGHATI PASS,66
'16316',BANGALORE EXP  ,25
'59821',KOTA BIX PASS  ,31
'18447',HIRAKHAND EXP  ,40
'16315',KOCHUVELI EXP  ,24
'18448',HIRAKHAND EXP  ,40
'18449',B NATH DHAM EXP,26
'12954',AG KRANTI RJDHN,14
'12955',BCT JP EXPRESS ,19
'12956',JP BCT SUPFAST ,19
'12957',SWARNA J RAJ EX,10
'12950',PBR KAVIGURU EX,38
'12951',MUMBAI RAJDHANI,8
'12952',MUMBAI RAJDHANI,7
'12953',AUG KR RAJ EXP ,14
'08401',PURI SRC SPL   ,9
'08402',SRC PURI  SPL  ,9
'12958',ADI SJ RAJDHANI,10
'12959',DADAR BHUJ EXP ,19
'56501',HUBLI PASS     ,70
'22481',JU DEE SUP     ,19
'22480',BKN JSM EXPRESS,8
'05968',DBRG RNY SPECIA,28
'05967',RNY DBRG SPECIA,28
'18620',DUMK RNC EXPRES,18
'18621',PATLIPUTRA EXP ,45
'18622',PATLIPUTRA EXP ,44
'18623',RJPB HATIA EXP ,40
'18624',HTE RJPB EXP   ,27
'18625',PNBE HTE EXPRES,21
'18626',HTE PNBE EXP   ,21
'18627',HWH RNC INT EXP,9
'18628',RNC HWH INT EXP,9
'18629',RNC NJP EXP    ,22
'12482',INTERCITY EXP  ,16
'12483',AMRITSAR EXP   ,26
'12480',SURYANAGARI EXP,17
'12481',INTERCITY EXP  ,16
'12486',SGNR NED EXPRES,26
