SVN ,60
BNLW,250
MNDH,30
ANPR,30
NBH ,120
UMED,40
BLPU,80
BLPR,20
NVG ,50
STN ,190
AYB ,10
LDW ,10
BNP ,60
UM  ,20
KGS ,80
ANTU,130
AGC ,1550
ANB ,80
RDHP,60
SEM ,240
MXA ,20
KEK ,80
BRHU,20
HAT ,40
BNL ,40
MND ,20
WHM ,260
AAS ,40
MEX ,250
SVNR,20
MOT ,150
PM  ,90
NLDA,320
KWAE,250
SMRR,30
NLDM,120
BINA,1360
GLH ,20
SWV ,180
ERS ,970
PNJ ,50
GPT ,20
BKNG,140
SRNR,70
NDB ,620
SRNT,50
PS  ,20
PES ,20
BRK ,20
KNKT,30
GPB ,260
CTKT,60
MTR ,100
KMLI,20
SZH ,40
OM  ,40
AGMN,20
KDU ,100
KQA ,20
PSK ,40
BPL ,2320
UCH ,20
BTK ,60
LRD ,130
SUP ,20
LMD ,40
NIIJ,40
SKT ,180
ISM ,10
PVD ,40
GMO ,500
NHY ,40
WC  ,70
KHU ,70
MHBT,20
DGS ,10
NGTN,40
KUG ,20
KFA ,60
RMA ,470
LKG ,20
UHP ,270
SAU ,90
NRKR,290
KLK ,270
DAKA,40
NNL ,100
DAKE,140
KS  ,100
NRYP,20
AST ,50
KCKI,20
SKTN,40
NRK ,10
KASR,20
MBF ,20
GKB ,20
PML ,100
UAR ,20
NGT ,100
BRU ,20
BRKA,260
GKM ,40
RDT ,10
BTKP,40
KPS ,10
CIV ,40
MWX ,50
UMS ,20
PAK ,330
JYG ,160
MJZ ,20
JRT ,20
MNJ ,40
MZC ,80
JNTR,20
MSB ,340
KZJ ,1040
BQI ,90
MED ,100
VNUP,140
UTA ,20
UGR ,40
BNI ,40
BN  ,110
SCM ,280
BSC ,60
POZ ,60
TIM ,50
LAR ,660
MGN ,420
PHN ,250
CRE ,70
CLF ,80
KZT ,160
AJN ,20
TBR ,20
SAA ,60
RPRD,180
MVF ,20
XXXX,20
MMH ,10
WSE ,20
RPRL,20
BTY ,100
BRLA,20
VZM ,1490
JER ,320
PGA ,20
RGH ,40
KOU ,250
PAY ,440
BSKO,20
MHD ,260
RPR ,160
RXL ,140
BTW ,160
KBM ,60
DWZ ,20
TKLB,20
KTM ,40
PNW ,70
GEK ,20
RRJ ,20
JRLE,130
PGZ ,20
HSK ,100
MIK ,20
BOBS,30
HRI ,740
CTYL,70
RV  ,120
KSC ,20
HYB ,420
SOM ,10
NGB ,20
DZA ,270
PMD ,20
DEG ,20
AJNI,170
GMS ,150
AHN ,20
BDL ,490
JSR ,30
KY  ,230
PKB ,20
KKLR,250
GH  ,30
